icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,41624,DERA ISMAIL KHAN,,PK,31.8167,70.9167,172,5,41624
,,41640,LAHORE CITY,,PK,31.55,74.3333,214,5,41640
,,41661,QUETTA (SHEIKH MANDA),,PK,30.2667,66.9167,1620,5,41661
,,41675,MULTAN,,PK,30.2,71.4333,122,5,41675
,,41678,BAHAWALNAGAR,,PK,29.95,73.25,162,5,41678
,,41710,NOKKUNDI,,PK,28.8167,62.75,682,5,41710
,,41712,DAL BANDIN,,PK,28.8833,64.4,848,5,41712
,,41715,JACOBABAD,,PK,28.3,68.4667,55,5,41715
,,41718,KHANPUR,,PK,28.65,70.6833,87,5,41718
,,41739,PANJGUR,,PK,26.9667,64.1,980,5,41739
,,41744,KHUZDAR,,PK,27.8333,66.6333,1231,5,41744
,,41749,NAWABSHAH,,PK,26.25,68.3667,37,5,41749
,,41756,JIWANI,,PK,25.0667,61.8,56,5,41756
,,41764,HYDERABAD,,PK,25.3833,68.4167,28,5,41764
,,41768,CHHOR,,PK,25.5167,69.7833,5,5,41768
,,41780,KARACHI AIRPORT,,PK,24.9,67.1333,21,5,41780
,,12120,LEBA,,PL,54.7536,17.5347,1,5,12120
,,12374,LEGIONOWO,,PL,52.4078,20.9564,94,5,12374
,,12425,WROCLAW-STARACHOWICE,,PL,51.1131,16.8811,119,5,12425
,,12575,TARNOW,,PL,50.03,20.9844,209,5,12575
,,78807,COROZAL OESTE,,PM,8.9667,-79.5667,7,5,78807
,,8507,GRACIOSA/AERODROMO,,PO,39.0913,-28.0299,25,5,8507
,,8508,LAJES (ACORES) (8508-0),,PO,38.7678,-27.0872,72,5,8508
,,8522,FUNCHAL,,PO,32.6475,-16.8925,58,5,8522
,,8536,LISBOA/PORTELA,,PO,38.7892,-9.1352,103,5,8536
,,92035,PORT MORESBY W.O.,,PP,-9.4409,147.2104,57,5,92035
,,92044,MOMOTE W.O.,,PP,-2.05,147.4167,4,5,92044
,,91408,KOROR/CAROLINE IS.,,PS,7.3333,134.4833,30,5,91408
,,41169,HAMAD INTERNATIONAL AIRPORT,,QA,25.2731,51.6081,4,5,41169
,,61980,SAINT-DENIS/GILLOT (REUNION),,RE,-20.8925,55.5286,20,5,61980
,,13275,BEOGRAD/KOSUTNJAK,,RI,44.7714,20.4244,203,5,13275
,,13295,NEGOTIN,,RI,44.2392,22.5365,43,5,13295
,,13369,SJENICA,,RI,43.2685,19.995,1038,5,13369
,,13388,NIS,,RI,43.3264,21.8975,203,5,13388
,,91366,KWAJALEIN/BUCHOLZ AAF; MARSHAL,,RM,8.7333,167.7333,2,5,91366
PKMJ,,91376,Majuro,MH,US,7.08,171.38,3,5,
,,15120,CLUJ-NAPOCA,,RO,46.7778,23.5713,410,5,15120
,,15420,BUCURESTI BANEASA,,RO,44.5104,26.0782,90,5,15420
,,98223,LAOAG,,RP,18.1831,120.5348,5,5,98223
